date,id,home_team,away_team,league,country,start_timestamp,start_time,status,venue,round,source
2025-05-16,,Aston Villa,Tottenham,Premier League,,,,,,,fbref
2025-05-16,,Chelsea,Manchester Utd,Premier League,,,,,,,fbref
2025-05-17,,Freiburg,Eint Frankfurt,Bundesliga,,,,,,,fbref
2025-05-17,,St. Pauli,Bochum,Bundesliga,,,,,,,fbref
2025-05-17,,Dortmund,Holstein Kiel,Bundesliga,,,,,,,fbref
2025-05-17,,Heidenheim,Werder Bremen,Bundesliga,,,,,,,fbref
2025-05-17,,RB Leipzig,Stuttgart,Bundesliga,,,,,,,fbref
2025-05-17,,Augsburg,Union Berlin,Bundesliga,,,,,,,fbref
2025-05-17,,Gladbach,Wolfsburg,Bundesliga,,,,,,,fbref
2025-05-17,,Hoffenheim,Bayern Munich,Bundesliga,,,,,,,fbref
2025-05-17,,Mainz 05,Leverkusen,Bundesliga,,,,,,,fbref
2025-05-17,,Saint-Étienne,Toulouse,Ligue 1,,,,,,,fbref
2025-05-17,,Paris S-G,Auxerre,Ligue 1,,,,,,,fbref
2025-05-17,,Lyon,Angers,Ligue 1,,,,,,,fbref
2025-05-17,,Strasbourg,Le Havre,Ligue 1,,,,,,,fbref
2025-05-17,,Lens,Monaco,Ligue 1,,,,,,,fbref
2025-05-17,,Marseille,Rennes,Ligue 1,,,,,,,fbref
2025-05-17,,Nantes,Montpellier,Ligue 1,,,,,,,fbref
2025-05-17,,Nice,Brest,Ligue 1,,,,,,,fbref
2025-05-17,,Lille,Reims,Ligue 1,,,,,,,fbref
2025-05-18,,Everton,Southampton,Premier League,,,,,,,fbref
2025-05-18,,West Ham,Nott'ham Forest,Premier League,,,,,,,fbref
2025-05-18,,Brentford,Fulham,Premier League,,,,,,,fbref
2025-05-18,,Leicester City,Ipswich Town,Premier League,,,,,,,fbref
2025-05-18,,Arsenal,Newcastle Utd,Premier League,,,,,,,fbref
2025-05-18,,Las Palmas,Leganés,La Liga,,,,,,,fbref
2025-05-18,,Mallorca,Getafe,La Liga,,,,,,,fbref
2025-05-18,,Valencia,Athletic Club,La Liga,,,,,,,fbref
2025-05-18,,Atlético Madrid,Betis,La Liga,,,,,,,fbref
2025-05-18,,Osasuna,Espanyol,La Liga,,,,,,,fbref
2025-05-18,,Barcelona,Villarreal,La Liga,,,,,,,fbref
2025-05-18,,Valladolid,Alavés,La Liga,,,,,,,fbref
2025-05-18,,Real Sociedad,Girona,La Liga,,,,,,,fbref
2025-05-18,,Sevilla,Real Madrid,La Liga,,,,,,,fbref
2025-05-18,,Celta Vigo,Rayo Vallecano,La Liga,,,,,,,fbref
2025-05-18,,Genoa,Atalanta,Serie A,,,,,,,fbref
2025-05-18,,Juventus,Udinese,Serie A,,,,,,,fbref
2025-05-18,,Fiorentina,Bologna,Serie A,,,,,,,fbref
2025-05-18,,Parma,Napoli,Serie A,,,,,,,fbref
2025-05-18,,Inter,Lazio,Serie A,,,,,,,fbref
2025-05-18,,Lecce,Torino,Serie A,,,,,,,fbref
2025-05-18,,Cagliari,Venezia,Serie A,,,,,,,fbref
2025-05-18,,Monza,Empoli,Serie A,,,,,,,fbref
2025-05-18,,Hellas Verona,Como,Serie A,,,,,,,fbref
2025-05-18,,Roma,Milan,Serie A,,,,,,,fbref
